"criminals_per_100","beerhouses_per_100","school_per_100","worship_per_100"
0.2,0.541,5.6,21.7
0.16,0.504,6.3,24.1
0.16,0.552,7.9,34
0.147,0.295,8.2,33.9
0.178,0.409,9.9,39.9
0.205,0.568,9.3,34.9
0.183,0.708,10.2,44.4
0.156,0.624,11.3,48.5
0.173,0.463,9.5,42.4
0.132,0.408,10.9,48.8
0.149,0.646,11.1,55.2
0.143,0.588,12.5,56.8
0.17,0.555,9.6,46.3
0.163,0.418,8.9,42.6
0.164,0.2,8.8,49.4
0.158,0.321,8.9,40.8
0.157,0.178,11.7,50.9
0.113,0.186,11.5,46.9
0.138,0.192,7.6,40.2
0.066,0.087,10.5,43.8
0.168,0.212,9.8,43.7
0.211,0.406,9.6,40.8
0.241,0.35,10.4,45.5
0.212,0.152,6.3,32.3
0.145,0.314,8.1,39.2
0.172,0.488,10.8,32.1
0.213,0.459,8.9,32.5
0.183,0.499,7.7,29.7
0.127,0.427,10.9,45.9
0.148,0.354,9.7,46.9
0.127,0.268,9.6,41.7
0.122,0.485,10.7,38.2
0.083,0.449,12.1,38.9
0.216,0.455,10.9,32.8
0.164,0.4,10.8,26.8
0.114,0.238,10.5,34.1
0.088,0.18,8.8,27.3
0.09,0.152,10.9,27.9
0.076,0.114,7.5,25.4
0.101,0.149,8.9,33.1
